Model,Brand,Category,Upper_Material,Upper_Material_Type,Midsole,Outsole,Mass_kg,Price_USD,Lifespan_Years,CO2e_Materials,CO2e_Manufacturing,CO2e_Transport,CO2e_Packaging,CO2e_EOL,CO2e_Total,Water_L,Land_m2,Ecotox_CTUe,Recyclability_Score,Disassembly_Difficulty,Notes,Is_Leather,Leather_Group,Annualized_CO2e
Nike Sabrina 2,Nike,Basketball,Textile upper,Synthetic Textile,Cushlon foam,Rubber,0.38,135,1.5,0.98,0.25,0.15,0.04,0.01,1.44,35,0.02,9,Medium,High,Guard shoe,0,Non-leather,0.96
Nike LeBron 21,Nike,Basketball,Mesh/synthetic,Synthetic Textile,Zoom Air,Rubber,0.42,205,2.0,0.47,0.12,0.07,0.02,0.01,0.68,22,0.01,5,Medium,High,Heavy support,0,Non-leather,0.34
Nike KD 17,Nike,Basketball,Textile mesh + TPU,Synthetic Textile,Zoom Air,Rubber,0.36,155,1.5,0.47,0.12,0.07,0.02,0.01,0.68,22,0.01,5,Medium,High,Versatile forward,0,Non-leather,0.45333333333333337
Adidas Harden Vol. 8,Adidas,Basketball,Synthetic upper,Synthetic Textile,Boost + Lightstrike,Rubber,0.4,160,1.5,1.09,0.27,0.16,0.05,0.02,1.59,38,0.02,10,Medium,High,End Plastic Waste,0,Non-leather,1.06
Nike Zoom GT Cut 3,Nike,Basketball,Mesh upper,Synthetic Textile,React + Zoom Air,Rubber,0.35,190,1.5,0.85,0.21,0.13,0.04,0.01,1.24,32,0.01,8,Medium,High,Cutting shoe,0,Non-leather,0.8266666666666667
Adidas AE 1,Adidas,Basketball,Textile upper,Synthetic Textile,Lightstrike,Rubber,0.34,120,1.5,0.78,0.2,0.12,0.04,0.01,1.14,30,0.01,8,Medium,High,Anthony Edwards sig,0,Non-leather,0.7599999999999999
Puma MB.03,Puma,Basketball,Mesh upper,Synthetic Textile,NITROFOAM,Rubber,0.33,135,1.5,0.75,0.19,0.11,0.03,0.01,1.09,28,0.01,7,Medium,High,LaMelo Ball sig,0,Non-leather,0.7266666666666667
Jordan Luka 2,Jordan,Basketball,Mesh/synthetic,Synthetic Textile,Zoom Air,Rubber,0.37,120,1.5,0.88,0.22,0.13,0.04,0.01,1.28,33,0.01,9,Medium,High,Luka Doncic sig,0,Non-leather,0.8533333333333334
New Balance TWO WXY v4,New Balance,Basketball,Synthetic mesh,Synthetic Textile,FuelCell,Rubber,0.36,130,1.5,0.82,0.21,0.12,0.04,0.01,1.2,31,0.01,8,Medium,High,Two-way player,0,Non-leather,0.7999999999999999
Under Armour Curry 11,Under Armour,Basketball,UA Warp,Synthetic Textile,Flow,Rubber,0.34,160,1.5,0.78,0.2,0.12,0.04,0.01,1.14,30,0.01,8,Medium,High,Curry signature,0,Non-leather,0.7599999999999999
Nike Air Force 1 '07,Nike,Casual,Full grain leather,Full Leather,Foam,Rubber,0.45,120,3.0,12.5,3.13,1.88,0.56,0.31,18.38,850,2.8,185,Low,Medium,Classic leather,1,Leather-associated,6.126666666666666
Nike Air Force 1 '07 LV8,Nike,Casual,Tumbled leather,Full Leather,Foam,Rubber,0.44,130,3.0,12.25,3.06,1.84,0.55,0.31,18.0,835,2.75,182,Low,Medium,Premium leather,1,Leather-associated,6.0
Adidas Stan Smith,Adidas,Casual,Full grain leather,Full Leather,EVA,Rubber,0.38,95,2.5,10.5,2.63,1.58,0.47,0.26,15.44,720,2.35,155,Low,Medium,Classic tennis,1,Leather-associated,6.176
Adidas Stan Smith Primegreen,Adidas,Casual,Recycled synthetic,Recycled Synthetic,EVA,Rubber,0.35,108,1.5,0.9,0.23,0.13,0.04,0.01,1.32,28,0.01,7,High,Medium,50% recycled,0,Non-leather,0.88
Converse Chuck Taylor All Star,Converse,Casual,Canvas,Natural Textile,Rubber,Vulcanized rubber,0.32,65,2.0,0.9,0.23,0.13,0.04,0.01,1.32,35,0.03,8,High,Low,Classic canvas,0,Non-leather,0.66
New Balance 550,New Balance,Casual,Leather/synthetic,Partial Leather,Foam,Rubber,0.4,120,2.5,4.2,1.05,0.63,0.19,0.1,6.17,320,1.05,70,Medium,Medium,Retro leather mix,1,Leather-associated,2.468
Vans Old Skool,Vans,Casual,Suede + canvas,Partial Leather,Foam,Vulcanized rubber,0.34,75,1.5,2.8,0.7,0.42,0.13,0.07,4.12,180,0.6,45,Medium,Low,Suede panels,1,Leather-associated,2.7466666666666666
Reebok Club C 85,Reebok,Casual,Soft leather,Full Leather,EVA,Rubber,0.36,90,2.5,9.9,2.48,1.49,0.45,0.25,14.56,680,2.2,145,Low,Medium,Classic tennis,1,Leather-associated,5.824
Puma Suede Classic,Puma,Casual,Full suede,Full Leather,Foam,Rubber,0.33,80,2.0,9.1,2.28,1.37,0.41,0.23,13.38,625,2.05,135,Low,Medium,Classic suede,1,Leather-associated,6.69
Dr. Martens 1461,Dr. Martens,Casual,Full grain leather,Full Leather,PVC,Rubber,0.62,130,5.0,17.1,4.28,2.57,0.77,0.43,25.14,1180,3.9,255,Low,Low,Heavy leather boot,1,Leather-associated,5.0280000000000005
Nike Mercurial Superfly 10 Academy,Nike,Soccer,NikeSkin synthetic,Synthetic Textile,Foam,TPU/Rubber,0.28,105,1.5,0.47,0.12,0.07,0.02,0.01,0.68,22,0.01,5,Medium,High,Speed boot,0,Non-leather,0.45333333333333337
Nike Tiempo Legend 10 Elite,Nike,Soccer,FlyTouch Plus,Synthetic Leather,Foam,Rubber,0.32,245,1.5,3.75,0.94,0.56,0.17,0.09,5.51,165,0.55,55,Medium,Medium,Synthetic leather,1,Leather-associated,3.6733333333333333
Adidas Predator 24 Elite,Adidas,Soccer,HybridTouch 2.0,Synthetic Textile,Foam,Rubber,0.3,260,1.5,0.9,0.23,0.13,0.04,0.01,1.32,28,0.01,7,Medium,High,20% recycled,0,Non-leather,0.88
Puma Future 8 Ultimate,Puma,Soccer,Mesh + PWRTAPE,Synthetic Textile,Foam,Rubber,0.27,240,1.5,0.47,0.12,0.07,0.02,0.01,0.68,22,0.01,5,Medium,High,Agility boot,0,Non-leather,0.45333333333333337
Adidas Copa Pure 2 Elite,Adidas,Soccer,K-Leather,Full Leather,Foam,Rubber,0.34,280,2.0,9.35,2.34,1.4,0.42,0.23,13.75,645,2.1,140,Low,Medium,Premium kangaroo,1,Leather-associated,6.875
Nike Phantom GX 2 Elite,Nike,Soccer,NikeSkin + Gripknit,Synthetic Textile,Foam,Rubber,0.29,275,1.5,0.68,0.17,0.1,0.03,0.01,0.99,26,0.01,7,Medium,High,Control boot,0,Non-leather,0.66
Adidas X Crazyfast.1,Adidas,Soccer,Speedskin synthetic,Synthetic Textile,Foam,Rubber,0.26,250,1.5,0.58,0.15,0.09,0.03,0.01,0.85,24,0.01,6,Medium,High,Speed boot,0,Non-leather,0.5666666666666667
Mizuno Morelia Neo IV,Mizuno,Soccer,K-Leather,Full Leather,Foam,Rubber,0.3,250,2.0,8.25,2.06,1.24,0.37,0.21,12.13,570,1.85,125,Low,Medium,Premium kangaroo,1,Leather-associated,6.065
Puma King Ultimate,Puma,Soccer,K-Leather,Full Leather,Foam,Rubber,0.32,230,2.0,8.8,2.2,1.32,0.4,0.22,12.94,605,2.0,130,Low,Medium,Classic leather boot,1,Leather-associated,6.47
New Balance Tekela v4+,New Balance,Soccer,Hypoknit,Synthetic Textile,Foam,Rubber,0.28,225,1.5,0.62,0.16,0.09,0.03,0.01,0.91,25,0.01,6,Medium,High,Laceless control,0,Non-leather,0.6066666666666667
