Model,Brand,Category,Upper_Material,Upper_Material_Type,Midsole,Outsole,Mass_kg,Price_USD,Lifespan_Years,CO2e_Materials,CO2e_Manufacturing,CO2e_Transport,CO2e_Packaging,CO2e_EOL,CO2e_Total,Water_L,Land_m2,Ecotox_CTUe,Recyclability_Score,Disassembly_Difficulty,Notes
Converse Chuck Taylor All Star,Converse,Casual,Canvas,Natural Textile,Rubber,Vulcanized rubber,0.32,65,2.0,0.9,0.23,0.13,0.04,0.01,1.32,35,0.03,8,High,Low,Classic canvas
New Balance 550,New Balance,Casual,Leather/synthetic,Partial Leather,Foam,Rubber,0.4,120,2.5,4.2,1.05,0.63,0.19,0.1,6.17,320,1.05,70,Medium,Medium,Retro leather mix
Vans Old Skool,Vans,Casual,Suede + canvas,Partial Leather,Foam,Vulcanized rubber,0.34,75,1.5,2.8,0.7,0.42,0.13,0.07,4.12,180,0.6,45,Medium,Low,Suede panels
Reebok Club C 85,Reebok,Casual,Soft leather,Full Leather,EVA,Rubber,0.36,90,2.5,9.9,2.48,1.49,0.45,0.25,14.56,680,2.2,145,Low,Medium,Classic tennis
Puma Suede Classic,Puma,Casual,Full suede,Full Leather,Foam,Rubber,0.33,80,2.0,9.1,2.28,1.37,0.41,0.23,13.38,625,2.05,135,Low,Medium,Classic suede
Dr. Martens 1461,Dr. Martens,Casual,Full grain leather,Full Leather,PVC,Rubber,0.62,130,5.0,17.1,4.28,2.57,0.77,0.43,25.14,1180,3.9,255,Low,Low,Heavy leather boot
Nike Mercurial Superfly 10 Academy,Nike,Soccer,NikeSkin synthetic,Synthetic Textile,Foam,TPU/Rubber,0.28,105,1.5,0.47,0.12,0.07,0.02,0.01,0.68,22,0.01,5,Medium,High,Speed boot
Nike Tiempo Legend 10 Elite,Nike,Soccer,FlyTouch Plus,Synthetic Leather,Foam,Rubber,0.32,245,1.5,3.75,0.94,0.56,0.17,0.09,5.51,165,0.55,55,Medium,Medium,Synthetic leather
Adidas Predator 24 Elite,Adidas,Soccer,HybridTouch 2.0,Synthetic Textile,Foam,Rubber,0.3,260,1.5,0.9,0.23,0.13,0.04,0.01,1.32,28,0.01,7,Medium,High,20% recycled
Puma Future 8 Ultimate,Puma,Soccer,Mesh + PWRTAPE,Synthetic Textile,Foam,Rubber,0.27,240,1.5,0.47,0.12,0.07,0.02,0.01,0.68,22,0.01,5,Medium,High,Agility boot
Adidas Copa Pure 2 Elite,Adidas,Soccer,K-Leather,Full Leather,Foam,Rubber,0.34,280,2.0,9.35,2.34,1.4,0.42,0.23,13.75,645,2.1,140,Low,Medium,Premium kangaroo
Nike Phantom GX 2 Elite,Nike,Soccer,NikeSkin + Gripknit,Synthetic Textile,Foam,Rubber,0.29,275,1.5,0.68,0.17,0.1,0.03,0.01,0.99,26,0.01,7,Medium,High,Control boot
Adidas X Crazyfast.1,Adidas,Soccer,Speedskin synthetic,Synthetic Textile,Foam,Rubber,0.26,250,1.5,0.58,0.15,0.09,0.03,0.01,0.85,24,0.01,6,Medium,High,Speed boot
Mizuno Morelia Neo IV,Mizuno,Soccer,K-Leather,Full Leather,Foam,Rubber,0.3,250,2.0,8.25,2.06,1.24,0.37,0.21,12.13,570,1.85,125,Low,Medium,Premium kangaroo
Puma King Ultimate,Puma,Soccer,K-Leather,Full Leather,Foam,Rubber,0.32,230,2.0,8.8,2.2,1.32,0.4,0.22,12.94,605,2.0,130,Low,Medium,Classic leather boot
New Balance Tekela v4+,New Balance,Soccer,Hypoknit,Synthetic Textile,Foam,Rubber,0.28,225,1.5,0.62,0.16,0.09,0.03,0.01,0.91,25,0.01,6,Medium,High,Laceless control
Nike Book 1,Nike,Basketball,Leather + textile,Partial Leather,Foam + Air Zoom,Rubber,0.39,145,2.0,4.4,1.1,0.66,0.22,0.09,6.47,335,1.1,72,Medium,High,43-row pilot addition; exact PDP and local HTML capture from archived_specs.
Puma MB.04,Puma,Basketball,Double-layered mesh,Synthetic Textile,NITROFOAM,Rubber,0.34,115,1.5,0.77,0.19,0.12,0.04,0.02,1.14,29,0.01,8,Medium,High,43-row pilot addition; exact PDP and local HTML capture from archived_specs.
Nike Dunk Low,Nike,Casual,Leather upper,Full Leather,Foam,Rubber,0.39,105,2.5,10.8,2.7,1.62,0.54,0.22,15.88,745,2.45,160,Low,Medium,43-row pilot addition; exact PDP and local HTML capture from archived_specs.
