Model,Brand,Category,Upper_Material,Upper_Material_Type,Midsole,Outsole,Mass_kg,Price_USD,Lifespan_Years,CO2e_Materials,CO2e_Manufacturing,CO2e_Transport,CO2e_Packaging,CO2e_EOL,CO2e_Total,Water_L,Land_m2,Ecotox_CTUe,Recyclability_Score,Disassembly_Difficulty,Notes,Stored_Mass_kg_v1,Single_Shoe_Reference_Mass_kg_v2,Pair_Mass_kg_v2,Mass_Calibration_Source,Mass_Calibration_Factor,Official_Weight_URL,Official_Weight_Basis,Stated_Size_or_Context,Validation_Status
Nike Sabrina 2,Nike,Basketball,Textile upper,Synthetic Textile,Cushlon foam,Rubber,0.76,135,1.5,1.96,0.5,0.3,0.08,0.02,2.86,70,0.04,18,Medium,High,Guard shoe. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.38,0.38,0.76,doubled_stored_proxy,2.0,,,,
Nike LeBron 21,Nike,Basketball,Mesh/synthetic,Synthetic Textile,Zoom Air,Rubber,0.84,205,2.0,0.94,0.24,0.14,0.04,0.02,1.38,44,0.02,10,Medium,High,Heavy support. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.42,0.42,0.84,doubled_stored_proxy,2.0,,,,
Nike KD 17,Nike,Basketball,Textile mesh + TPU,Synthetic Textile,Zoom Air,Rubber,0.72,155,1.5,0.94,0.24,0.14,0.04,0.02,1.38,44,0.02,10,Medium,High,Versatile forward. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.36,0.36,0.72,doubled_stored_proxy,2.0,,,,
Adidas Harden Vol. 8,Adidas,Basketball,Synthetic upper,Synthetic Textile,Boost + Lightstrike,Rubber,0.8,160,1.5,2.18,0.54,0.32,0.1,0.04,3.18,76,0.04,20,Medium,High,End Plastic Waste. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.4,0.4,0.8,doubled_stored_proxy,2.0,,,,
Nike Zoom GT Cut 3,Nike,Basketball,Mesh upper,Synthetic Textile,React + Zoom Air,Rubber,0.7,190,1.5,1.7,0.42,0.26,0.08,0.02,2.48,64,0.02,16,Medium,High,Cutting shoe. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.35,0.35,0.7,doubled_stored_proxy,2.0,,,,
Adidas AE 1,Adidas,Basketball,Textile upper,Synthetic Textile,Lightstrike,Rubber,0.68,120,1.5,1.56,0.4,0.24,0.08,0.02,2.3,60,0.02,16,Medium,High,Anthony Edwards sig. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.34,0.34,0.68,doubled_stored_proxy,2.0,,,,
Puma MB.03,Puma,Basketball,Mesh upper,Synthetic Textile,NITROFOAM,Rubber,0.66,135,1.5,1.5,0.38,0.22,0.06,0.02,2.18,56,0.02,14,Medium,High,LaMelo Ball sig. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.33,0.33,0.66,doubled_stored_proxy,2.0,,,,
Jordan Luka 2,Jordan,Basketball,Mesh/synthetic,Synthetic Textile,Zoom Air,Rubber,0.74,120,1.5,1.76,0.44,0.26,0.08,0.02,2.56,66,0.02,18,Medium,High,Luka Doncic sig. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.37,0.37,0.74,doubled_stored_proxy,2.0,,,,
New Balance TWO WXY v4,New Balance,Basketball,Synthetic mesh,Synthetic Textile,FuelCell,Rubber,0.742,130,1.5,1.69,0.43,0.25,0.08,0.02,2.47,64,0.02,16,Medium,High,Two-way player. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.36,0.371,0.742,official_single_shoe_disclosure,2.061,https://www.newbalance.com/pd/two-wxy-v4/BB2WYV4-US-CA-NR4.html?dwvar_BB2WYV4-US-CA-NR4_style=BB2WYNR4,official_single_shoe_disclosure,Size not stated in official excerpt,validated_official_weight_disclosure
Under Armour Curry 11,Under Armour,Basketball,UA Warp,Synthetic Textile,Flow,Rubber,0.697,160,1.5,1.6,0.41,0.25,0.08,0.02,2.36,62,0.02,16,Medium,High,Curry signature. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.34,0.3487,0.6974,official_single_shoe_disclosure,2.051,https://www.underarmour.com/en-us/p/curry_brand_shoes_and_gear/curry_11_dub_nation_unisex_basketball_shoes/3026615.html,official_single_shoe_disclosure,Official Curry 11 family colorway page; size not stated in official excerpt,validated_official_weight_disclosure
Nike Air Force 1 '07,Nike,Casual,Full grain leather,Full Leather,Foam,Rubber,0.9,120,3.0,25.0,6.26,3.76,1.12,0.62,36.76,1700,5.6,370,Low,Medium,Classic leather. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.45,0.45,0.9,doubled_stored_proxy,2.0,,,,
Nike Air Force 1 '07 LV8,Nike,Casual,Tumbled leather,Full Leather,Foam,Rubber,0.88,130,3.0,24.5,6.12,3.68,1.1,0.62,36.02,1670,5.5,364,Low,Medium,Premium leather. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.44,0.44,0.88,doubled_stored_proxy,2.0,,,,
Adidas Stan Smith,Adidas,Casual,Full grain leather,Full Leather,EVA,Rubber,0.76,95,2.5,21.0,5.26,3.16,0.94,0.52,30.88,1440,4.7,310,Low,Medium,Classic tennis. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.38,0.38,0.76,doubled_stored_proxy,2.0,,,,
Adidas Stan Smith Primegreen,Adidas,Casual,Recycled synthetic,Recycled Synthetic,EVA,Rubber,0.7,108,1.5,1.8,0.46,0.26,0.08,0.02,2.62,56,0.02,14,High,Medium,50% recycled. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.35,0.35,0.7,doubled_stored_proxy,2.0,,,,
Converse Chuck Taylor All Star,Converse,Casual,Canvas,Natural Textile,Rubber,Vulcanized rubber,0.64,65,2.0,1.8,0.46,0.26,0.08,0.02,2.62,70,0.06,16,High,Low,Classic canvas. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.32,0.32,0.64,doubled_stored_proxy,2.0,,,,
New Balance 550,New Balance,Casual,Leather/synthetic,Partial Leather,Foam,Rubber,0.8,120,2.5,8.4,2.1,1.26,0.38,0.2,12.34,640,2.1,140,Medium,Medium,Retro leather mix. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.4,0.4,0.8,doubled_stored_proxy,2.0,,,,
Vans Old Skool,Vans,Casual,Suede + canvas,Partial Leather,Foam,Vulcanized rubber,0.68,75,1.5,5.6,1.4,0.84,0.26,0.14,8.24,360,1.2,90,Medium,Low,Suede panels. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.34,0.34,0.68,doubled_stored_proxy,2.0,,,,
Reebok Club C 85,Reebok,Casual,Soft leather,Full Leather,EVA,Rubber,0.72,90,2.5,19.8,4.96,2.98,0.9,0.5,29.14,1360,4.4,290,Low,Medium,Classic tennis. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.36,0.36,0.72,doubled_stored_proxy,2.0,,,,
Puma Suede Classic,Puma,Casual,Full suede,Full Leather,Foam,Rubber,0.66,80,2.0,18.2,4.56,2.74,0.82,0.46,26.78,1250,4.1,270,Low,Medium,Classic suede. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.33,0.33,0.66,doubled_stored_proxy,2.0,,,,
Dr. Martens 1461,Dr. Martens,Casual,Full grain leather,Full Leather,PVC,Rubber,1.24,130,5.0,34.2,8.56,5.14,1.54,0.86,50.3,2360,7.8,510,Low,Low,Heavy leather boot. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.62,0.62,1.24,doubled_stored_proxy,2.0,,,,
Nike Mercurial Superfly 10 Academy,Nike,Soccer,NikeSkin synthetic,Synthetic Textile,Foam,TPU/Rubber,0.56,105,1.5,0.94,0.24,0.14,0.04,0.02,1.38,44,0.02,10,Medium,High,Speed boot. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.28,0.28,0.56,doubled_stored_proxy,2.0,,,,
Nike Tiempo Legend 10 Elite,Nike,Soccer,FlyTouch Plus,Synthetic Leather,Foam,Rubber,0.64,245,1.5,7.5,1.88,1.12,0.34,0.18,11.02,330,1.1,110,Medium,Medium,Synthetic leather. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.32,0.32,0.64,doubled_stored_proxy,2.0,,,,
Adidas Predator 24 Elite,Adidas,Soccer,HybridTouch 2.0,Synthetic Textile,Foam,Rubber,0.6,260,1.5,1.8,0.46,0.26,0.08,0.02,2.62,56,0.02,14,Medium,High,20% recycled. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.3,0.3,0.6,doubled_stored_proxy,2.0,,,,
Puma Future 8 Ultimate,Puma,Soccer,Mesh + PWRTAPE,Synthetic Textile,Foam,Rubber,0.54,240,1.5,0.94,0.24,0.14,0.04,0.02,1.38,44,0.02,10,Medium,High,Agility boot. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.27,0.27,0.54,doubled_stored_proxy,2.0,,,,
Adidas Copa Pure 2 Elite,Adidas,Soccer,K-Leather,Full Leather,Foam,Rubber,0.68,280,2.0,18.7,4.68,2.8,0.84,0.46,27.48,1290,4.2,280,Low,Medium,Premium kangaroo. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.34,0.34,0.68,doubled_stored_proxy,2.0,,,,
Nike Phantom GX 2 Elite,Nike,Soccer,NikeSkin + Gripknit,Synthetic Textile,Foam,Rubber,0.58,275,1.5,1.36,0.34,0.2,0.06,0.02,1.98,52,0.02,14,Medium,High,Control boot. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.29,0.29,0.58,doubled_stored_proxy,2.0,,,,
Adidas X Crazyfast.1,Adidas,Soccer,Speedskin synthetic,Synthetic Textile,Foam,Rubber,0.52,250,1.5,1.16,0.3,0.18,0.06,0.02,1.72,48,0.02,12,Medium,High,Speed boot. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.26,0.26,0.52,doubled_stored_proxy,2.0,,,,
Mizuno Morelia Neo IV,Mizuno,Soccer,K-Leather,Full Leather,Foam,Rubber,0.4,250,2.0,11.0,2.75,1.65,0.49,0.28,16.17,760,2.47,167,Low,Medium,Premium kangaroo. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.3,0.2,0.4,official_single_shoe_disclosure,1.333,https://usa.mizuno.com/soccer-morelia-neo-iv-beta-elite?sku=54031110001200,official_single_shoe_disclosure,Size 9,validated_official_weight_disclosure
Puma King Ultimate,Puma,Soccer,K-Leather,Full Leather,Foam,Rubber,0.64,230,2.0,17.6,4.4,2.64,0.8,0.44,25.88,1210,4.0,260,Low,Medium,Classic leather boot. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.32,0.32,0.64,doubled_stored_proxy,2.0,,,,
New Balance Tekela v4+,New Balance,Soccer,Hypoknit,Synthetic Textile,Foam,Rubber,0.403,225,1.5,0.89,0.23,0.13,0.04,0.01,1.3,36,0.01,9,Medium,High,Laceless control. Mass-calibrated v2 release; explicit pair mass is derived from an official single-shoe disclosure where available or from 2 x the v1 stored reference mass proxy otherwise.,0.28,0.2017,0.4034,official_single_shoe_disclosure,1.441,https://www.newbalance.com/pd/tekela-pro-low-fg-v4plus/ST1FLV45-45342.html?dwvar_ST1FLV45-45342_style=ST1FLG45,official_single_shoe_disclosure,Size not stated in official excerpt,validated_official_weight_disclosure
